route,latitude,longitude
1,40.8833,29.3681
1,41.0326,29.1136
1,41.021,29.0395
1,41.0264,29.1276
1,40.9192,29.1641
1,40.9902,29.024
1,40.8833,29.3681
2,40.8833,29.3681
2,40.9633,29.0861
2,41.0075,29.0497
2,40.8766,29.2597
2,40.8779,29.2314
2,41.0475,29.0761
2,41.0333,29.1014
2,41.0254,29.094
2,40.8833,29.3681
3,40.8833,29.3681
3,41.1366,29.0905
3,40.9789,29.1173
3,40.9436,29.113
3,40.9227,29.1342
3,40.8662,29.275
3,40.8157,29.3127
3,40.8796,29.232
3,40.8833,29.3681
4,40.8833,29.3681
4,41.0443,29.0453
4,40.9864,29.0664
4,40.9823,29.1325
4,40.9846,29.0478
4,40.9498,29.1739
4,40.8833,29.3681
5,40.8833,29.3681
5,40.8888,29.1875
5,40.8994,29.1688
5,40.8712,29.232
5,40.9696,29.2556
5,40.9396,29.3176
5,40.9527,29.1219
5,40.8833,29.3681
6,40.8833,29.3681
6,40.9737,29.055
6,41.025,29.1066
6,40.994,29.1227
6,40.9645,29.1073
6,41.0498,29.0545
6,41.0322,29.0319
6,40.8833,29.3681
7,40.8833,29.3681
7,41.0249,29.0872
7,41.0344,29.1819
7,41.0292,29.2241
7,40.9719,29.074
7,40.9626,29.0757
7,40.8833,29.3681
8,40.8833,29.3681
8,41.0116,29.0384
8,41.001,29.0296
8,41.0243,29.0155
8,40.9184,29.2205
8,40.9193,29.3015
8,40.8833,29.3681
9,40.8833,29.3681
9,40.8771,29.2344
9,40.998,29.0997
9,40.9919,29.0291
9,41.0006,29.0674
9,40.9332,29.1264
9,41.0103,29.216
9,41.025,29.0188
9,40.8833,29.3681
