route,latitude,longitude
1,40.8833,29.3681
1,40.9719,29.074
1,41.0443,29.0453
1,41.0322,29.0319
1,40.9332,29.1264
1,40.8833,29.3681
2,40.8833,29.3681
2,40.9919,29.0291
2,41.025,29.1066
2,41.0333,29.1014
2,40.9645,29.1073
2,40.8771,29.2344
2,41.025,29.0188
2,40.9823,29.1325
2,40.998,29.0997
2,40.8833,29.3681
3,40.8833,29.3681
3,41.1366,29.0905
3,40.994,29.1227
3,40.9737,29.055
3,40.9902,29.024
3,40.9192,29.1641
3,40.9626,29.0757
3,40.8833,29.3681
4,40.8833,29.3681
4,41.021,29.0395
4,40.9227,29.1342
4,40.9864,29.0664
4,41.0075,29.0497
4,40.9846,29.0478
4,40.8833,29.3681
5,40.8833,29.3681
5,41.0264,29.1276
5,40.9527,29.1219
5,40.9789,29.1173
5,40.8994,29.1688
5,40.8779,29.2314
5,40.8888,29.1875
5,40.8662,29.275
5,40.8712,29.232
5,40.8833,29.3681
6,40.8833,29.3681
6,41.0326,29.1136
6,40.8796,29.232
6,40.9396,29.3176
6,41.0292,29.2241
6,41.0344,29.1819
6,41.0498,29.0545
6,40.8833,29.3681
7,40.8833,29.3681
7,40.9184,29.2205
7,40.9436,29.113
7,41.001,29.0296
7,41.0116,29.0384
7,41.0006,29.0674
7,41.0254,29.094
7,40.8833,29.3681
8,40.8833,29.3681
8,40.9498,29.1739
8,40.9193,29.3015
8,40.8157,29.3127
8,40.8766,29.2597
8,41.0103,29.216
8,40.9696,29.2556
8,40.8833,29.3681
9,40.8833,29.3681
9,41.0249,29.0872
9,41.0475,29.0761
9,41.0243,29.0155
9,40.9633,29.0861
9,40.8833,29.3681
